Title of the article;Jouranl's name;number of articels;DOIs
Allyloxy-2-hydroxy-propyl-starch/ Synthesis and Characterization;Journal of polymer science - Polymer Chemistry;1;10.1002/pola.22029
A Bacillus licheniformis pectin acetylesterase is specific for homogalacturonans acetylated at O-3;"
Carbohydrate Polymers";1;doi: 10.1016/j.carbpol.2014.02.006
A comparison of liquid chromatography, capillary electrophoresis, and mass spectrometry methods to determine xyloglucan structures in black currants;Journal of Chromatography A;4;1133(1-2):275-86
A new group of exo-acting family 28 glycoside hydrolases of Aspergillus niger that are involved in pectin degradation;Biochem J.;1;10.1042/BJ20060703
A rapid screening method for prenylated flavonoids with ultra-high-performance liquid chromatography/ electrospray ionisation mass spectrometry in licorice root extracts;Rapid Communications in Mass Spectrometry;3;10.1002/rcm.4215
Affecting osteoblastic responses with in vivo engineered potato pectin fragments;Journal of Biomedical Materials Research Part A;1;10.1002/jbm.a.33240
Agonistic and antagonistic estrogens in licorice root (Glycyrrhiza glabra);Analytical and Bioanalytical Chemistry;1;10.1007/s00216-011-5061-9
Alicyclobacillus acidocaldarius Thermophilic Esterase EST2’s Activity in Milk and Cheese Models;applied and Environmental Microbiology;3;10.1128/AEM.72.5.3191-3197.2006
Alternative fatty food simulants and diffusion kinetics of nylon 12 food packaging;Food Additives & Contaminants;3;10.1080/02652030310001603800
Antioxidative activity of Geranium macrorrhizum;European Food Research and Technology;1;10.1007/s00217-003-0836-7
Bifidobacterium longum Endogalactanase Liberates Galactotriose from Type I Galactans;applied and Environmental Microbiology (AEM);1;10.1128/AEM.71.9.5501-5510.2005
Bilberry xyloglucan—novel building blocks containing b-xylose within a complex structure;Carbohydrate Research;11;10.1016/j.carres.2006.12.005
Capillary electrophoresis fingerprinting, quantification and mass-identification of various 9-aminopyrene-1,4,6-trisulfonate-derivatized oligomers derived from plant polysaccharides;Journal of Chromatography A;;10.1016/j.chroma.2006.10.058
Characterisation of a 1,4-b-fucoside hydrolase degrading colanic acid;Carbohydrate Research;;10.1016/j.carres.2005.06.003
Characterisation of cell wall polysaccharides from okra (Abelmoschus esculentus (L.) Moench);Carbohydrate Research;;10.1016/j.carres.2008
Characterization and mode of action of two acetyl xylan esterases from Chrysosporium lucknowense C1 active towards acetylated xylans;Enzyme and Microbial Technology;3;10.1016/j.enzmictec.2011.05.010
Characterizing plant cell wall derived oligosaccharides using hydrophilic interaction chromatography with mass spectrometry detection;Journal of Chromatography A;;10.1016/j.chroma.2011.10.068
Chemical Processing as a Tool to Generate Ovalbumin Variants With Changed Stability;Biotechnology and Bioengineering;4;10.1002/bit.10749
Chrysosporium lucknowense C1 arabinofuranosidases are selective in releasing arabinose from either single or double substituted xylose residues in arabinoxylans;Enzyme and Microbial Technology;;10.1016/j
Colanic acid is an exopolysaccharide common to many enterobacteria isolated from paper-machine slimes;Journal of Industrial Microbiology and Biotechnology;1;10.1007/s10295-005-0064-1
Colloidal aspects of texture perception;Advances in Colloid and Interface Science;2;10.1016/j.cis.2009.04.002
Detection of ethanol and acetaldehyde released from cabbage seeds of different quality- Laser photoacoustic spectroscopy versus FTIR and headspace gas chromatography;;;10.1063/1.1512775
Development and validation of analytical methods for monomeric and oligomeric migrants from nylon 12 packaging materials;Food Additives & Contaminants;;
Diversity of L-leucine catabolism in various microorganisms involved in dairy fermentations, and identification of the rate-controlling step in the formation of the potent flavour component 3-methylbutanal;Applied Microbiology and Biotechnology;1;10.1007/s00253-003-1447-8
Effect of charged polysaccharides on the techno-functional properties of fractions obtained from algae soluble protein isolate;Food Hydrocolloids;4;10.1016/j.foodhyd.2013.07.019
Effect of Maillard reaction on biochemical properties of peanut 7S globulin (Ara h 1) and its interaction with a human colon cancer cell line (Caco-2);European Journal of Nutrition;1;10.1007/s00394-013-0494-x
Effect of Temperature and High Pressure on the Activity and Mode of Action of Fungal Pectin Methyl Esterase;"
Biotechnology Progress";1;10.1021/bp060079x
Effects of Calcium, pH, and Blockiness on Kinetic Rheological Behavior and Microstructure of HM Pectin Gels;Biomacromolecules;1;10.1021/bm049619+
Effects of pretreatment of wheat bran on the quality of protein-rich residue for animal feeding and on monosaccharide release for ethanol production;Bioresource Technology;1;10.1016/j.biortech.2012.08.052
Enzymatic synthesis of b-xylosyl-oligosaccharides by transxylosylation using two b-xylosidases of glycoside hydrolase family 3 from Aspergillus nidulans FGSC A4;Carbohydrate Research;;10.1016/j.carres.2010.12.010
Enzyme resistant feruloylated xylooligomer analogues from thermochemically treated corn fiber contain large side chains, ethyl glycosides and novel sites of acetylation;Carbohydrate Research;;10.1016/j.carres.2013.08.024
Fingerprinting complex pectins by chromatographic separation combined with ELISA detection;Carbohydrate Research;;10.1016/j.carres.2008.09.030
"Gelation of soy glycinin; influence of pH and ionic strength on network structure in relation to protein conformation";Food Hydrocolloids;;10.1016/S0268-005X(02)00100-5
High-throughput screening of monoclonal antibodies against plant cell wall glycans by hierarchical clustering of their carbohydrate microarray binding profiles;Glycoconjugate Journal;1;10.1007/s10719-007-9059-7
Identification of prenylated pterocarpans and other isoflavonoids in Rhizopus spp;Rapid Communications in Mass Spectrometry;;10.1002/rcm.4826
Identification, Cloning, and Characterization of a Lactococcus lactis Branched-Chain -Keto Acid Decarboxylase Involved in Flavor Formation;applied and Environmental Microbiology;;10.1128/AEM.71.1.303-311.2005
Importance of physical vs. chemical interactions in surface shear rheology;"
Advances in Colloid and Interface Science";2;10.1016/j.cis.2005.11.001
Increasing the Transglycosylation Activity of a-Galactosidase From Bifidobacterium adolescentis DSM 20083 by Site-Directed Mutagenesis;Biotechnology and Bioengineering;;10.1002/bit.20713
Influence of flavour absorption on oxygen permeation through LDPE, PP, PC and PET plastics food packaging;Food Additives & Contaminants;;
Introducing porous graphitized carbon liquid chromatography with evaporative light scattering and mass spectrometry detection into cell wall oligosaccharide analysis;Journal of Chromatography A;;10.1016/j.chroma.2009.12.005
Covalent interactions between amino acid;Journal of the Science of Food and Agriculture;2;
Lactococcal aminotransferases AraT and BcaT are key enzymes for the formation of aroma compounds from amino acids in cheese;International Dairy Journal;1;10.1016/S0958-6946(03)00102-X
LC/CE–MS tools for the analysis of complex arabino-oligosaccharides;Carbohydrate Research;;10.1016/j.carres.2010.07.011
Location of O-acetyl substituents in xylo-oligosaccharides obtained from hydrothermally treated Eucalyptus wood;Carbohydrate Research;;10.1016/S0008-6215(02)00351-8
Methylobacterium sp. isolated from a Finnish paper machine produces highly pyruvated galactan exopolysaccharide;Carbohydrate Research;;10.1016/S0008-6215(03)00261-1
Proof of principle for the synthesis of hydroxy-aryl esters of glycosidic polyols and non-reducing oligosaccharides with subsequent enzymatic coupling to a tyrosine-containing tripeptide;Carbohydrate Research;;10.1016/j.carres.2011.03.023
Comparison of atmospheric pressure chemical;RAPID COMMUNICATIONS IN MASS SPECTROMETRY;;10.1002/rcm.3777
Relating the effect of saliva-induced emulsion flocculation on rheological properties and retention on the tongue surface with sensory perception;Food Hydrocolloids;;10.1016/j.foodhyd.2008.04.014
Rheological properties of patatin gels compared with _-lactoglobulin, ovalbumin, and glycinin;Journal of the Science of Food and Agriculture;;10.1002/jsfa.4178
Role of calcium as trigger in thermal b-lactoglobulin aggregation;Archives of Biochemistry and Biophysics;1;10.1016/S0003-9861(02)00429-0
Separation and Direct Detection of Long Chain Fatty Acids and their Methylesters by the Non_Aqueous Reversed Phase HPLC and Silver Ion Chromatography, Combined with CO Laser Pumped Thermal Lens Spectrometry;Instrumentation Science & Technology;1;10.1080/10739140500374146
Spectrophotometric Tool for the Determination of the Total Carboxylate Content in Proteins;Analytical Chemistry;1;
Standard Assays Do Not Predict the Efficiency of Commercial Cellulase Preparations Towards Plant Materials;Biotechnology and Bioengineering;;"
10.1002/bit.20685"
Sugar Composition and FT-IR Analysis of Exopolysaccharides Produced by Microbial Isolates From Paper Mill Slime Deposits;BIOTECHNOLOGY AND BIOENGINEERING,;;10.1002/bit.20494
The chain length of lignan macromolecule from flaxseed hulls is determined by the incorporation of coumaric acid glucosides and ferulic acid glucosides;Phytochemistry;3;10.1016/j.phytochem.2008
The ferulic acid esterases of Chrysosporium lucknowense C1- Purification, characterization and their potential application in biorefinery;Enzyme and Microbial Technology;;10.1016/j.enzmictec.2011.09.008
The structure of an alternative wall teichoic acid produced by a Lactobacillus plantarum WCFS1 mutant contains a 1,5-linked poly(ribitol phosphate) backbone with 2-a-D-glucosyl substitutions;Carbohydrate Research;;10.1016/j.carres.2013.01.018
Use of polysaccharides to control protein adsorption to the air–water interface;Food Hydrocolloids;;10.1016/j.foodhyd.2005.08.009
Xylogalacturonan exists in cell walls from various tissues of Arabidopsis thaliana;Phytochemistry;;
_-Galactosidase from Bifidobacterium adolescentis DSM20083 prefers _(1,4)-galactosides over lactose;Biotechnologically Relevant Enzymes And Proteins;1;10.1007/s00253-004-1745-9
Saponins, classification and occurrence in the plant kingdom;Phytochemistry;;10.1016/j.phytochem.2006.10.008
A xylogalacturonan epitope is specifically associated with plant cell detachment;Planta;1;10.1007/s00425-003-1147-8
